Date,ABB.NS,ACC.NS,ADANIENT.NS,ADANIGREEN.NS,ADANIPORTS.NS,AMBUJACEM.NS,APOLLOHOSP.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BANDHANBNK.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CHOLAFIN.NS,CIPLA.NS,COALINDIA.NS,COLPAL.NS,DABUR.NS,DIVISLAB.NS,DLF.NS,DRREDDY.NS,EICHERMOT.NS,FEDERALBNK.NS,GAIL.NS,GODREJCP.NS,GRASIM.NS,HAVELLS.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,ICICIGI.NS,IDEA.NS,INDUSINDBK.NS,INFY.NS,IOC.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARICO.NS,MARUTI.NS,MPHASIS.NS,NESTLEIND.NS,NMDC.NS,NTPC.NS,ONGC.NS,PERSISTENT.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SHREECEM.NS,SIEMENS.NS,SUNPHARMA.NS,TATACONSUM.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,TVSMOTOR.NS,ULTRACEMCO.NS,VEDL.NS,WIPRO.NS
2024-02-01,4417.408203125,2498.20361328125,3149.297607421875,1665.949951171875,1202.6981201171875,558.5299072265625,6240.21630859375,1081.654541015625,7303.54052734375,1619.05615234375,662.7727661132812,221.90513610839844,1121.218017578125,226.7314453125,4934.521484375,1140.321044921875,1348.7860107421875,348.8442687988281,2370.608642578125,533.9595947265625,3601.78076171875,779.935302734375,1176.6025390625,3800.504150390625,144.61083984375,156.49391174316406,1197.611328125,2106.20458984375,1291.62109375,1425.6309814453125,702.040283203125,581.425048828125,4139.0830078125,560.9326782226562,2353.724365234375,1000.1853637695312,1486.443115234375,14.149999618530273,1521.7635498046875,1527.043212890625,133.62281799316406,380.1649475097656,788.8016967773438,363.1046142578125,3308.033203125,1609.1851806640625,518.9152221679688,10321.9072265625,2430.145751953125,1199.943115234375,67.34241485595703,303.99609375,219.88319396972656,4085.17822265625,244.6536407470703,1409.650634765625,1425.482666015625,613.3739013671875,29233.412109375,2389.230224609375,1370.118408203125,1104.3170166015625,126.51728057861328,3546.663818359375,1209.802001953125,3592.981201171875,1972.2916259765625,9605.6083984375,228.0034942626953,218.4272918701172
2024-02-02,4353.6650390625,2468.037353515625,3153.2421875,1674.25,1244.7335205078125,550.96826171875,6272.56884765625,1064.495849609375,7382.19775390625,1648.24853515625,673.0927124023438,225.1011962890625,1120.8284912109375,248.9832000732422,4934.76025390625,1156.0557861328125,1353.64599609375,360.0806884765625,2406.92431640625,524.5690307617188,3645.135498046875,771.551513671875,1185.7022705078125,3696.48583984375,143.6260986328125,160.2778778076172,1180.714599609375,2116.940185546875,1317.8543701171875,1431.3701171875,692.369140625,573.2052612304688,4256.9375,572.96142578125,2333.742431640625,999.0633544921875,1473.37109375,14.050000190734863,1514.45654296875,1560.4952392578125,145.3566436767578,377.76153564453125,810.300048828125,363.1445007324219,3286.66455078125,1618.5411376953125,512.6224365234375,10338.8876953125,2392.8076171875,1206.5557861328125,70.37491607666016,313.9090270996094,228.4068603515625,4187.0390625,255.05462646484375,1440.3306884765625,1428.1688232421875,615.26806640625,28088.6953125,2422.787109375,1378.5845947265625,1136.6746826171875,130.17764282226562,3649.8662109375,1233.398681640625,3578.07421875,2021.7657470703125,9776.2333984375,231.4426727294922,223.8955078125
2024-02-05,4244.59130859375,2454.9541015625,3169.220947265625,1668.6500244140625,1241.8721923828125,548.595947265625,6187.171875,1058.9591064453125,7305.92529296875,1611.7205810546875,649.4942626953125,218.9549102783203,1084.548828125,256.29638671875,4911.4228515625,1131.6568603515625,1393.74072265625,377.6215515136719,2397.029052734375,513.9746704101562,3645.23388671875,766.823486328125,1196.490234375,3758.712890625,145.00474548339844,163.6113739013672,1163.1495361328125,2067.762939453125,1316.331298828125,1405.7022705078125,691.7467041015625,557.9046020507812,4283.42333984375,569.4264526367188,2302.24658203125,998.5755615234375,1492.5859375,13.75,1518.455810546875,1554.8277587890625,155.21664428710938,376.0019226074219,801.5432739257812,360.2360534667969,3253.2724609375,1660.2532958984375,506.5232238769531,10118.7275390625,2337.151123046875,1197.463134765625,72.13764953613281,317.3077392578125,233.46778869628906,4212.154296875,260.3931884765625,1421.878173828125,1412.64794921875,608.922607421875,26608.791015625,2414.43408203125,1424.4677734375,1124.9437255859375,132.8525390625,3656.30810546875,1228.467529296875,3518.2978515625,2000.859130859375,9599.8486328125,232.3343048095703,223.5247802734375
2024-02-06,4278.40673828125,2496.475341796875,3199.48046875,1721.6500244140625,1256.229248046875,560.06201171875,6150.25390625,1047.5364990234375,7365.21630859375,1593.90576171875,648.5064086914062,214.77545166015625,1104.5147705078125,271.7031555175781,4798.8564453125,1152.271484375,1385.5272216796875,384.82659912109375,2429.0830078125,513.0596923828125,3671.837890625,777.30322265625,1210.655029296875,3811.51953125,144.66006469726562,168.67486572265625,1180.905517578125,2044.2628173828125,1321.48974609375,1467.5213623046875,691.3876953125,587.0204467773438,4316.6318359375,574.336181640625,2308.764404296875,1001.4049682617188,1563.6966552734375,14.25,1492.3878173828125,1593.7628173828125,164.63046264648438,370.2938537597656,805.5773315429688,355.98297119140625,3333.58837890625,1683.7408447265625,504.19970703125,10522.66015625,2410.051513671875,1194.521484375,72.76506042480469,318.5947265625,241.7694091796875,4255.68603515625,252.4313507080078,1410.7869873046875,1456.5740966796875,615.8362426757812,27215.501953125,2454.481201171875,1435.464111328125,1137.456787109375,135.76205444335938,3806.02783203125,1245.335693359375,3525.330078125,2023.9403076171875,9728.0234375,240.3165740966797,231.54173278808594
2024-02-07,4445.63671875,2474.060791015625,3225.5458984375,1866.0,1239.0106201171875,561.6436767578125,6131.05126953125,1066.5408935546875,7347.5673828125,1593.0574951171875,659.421142578125,212.6611328125,1104.7581787109375,268.47021484375,4867.095703125,1156.309326171875,1398.454833984375,388.2575988769531,2415.82568359375,517.5863037109375,3677.06005859375,806.6464233398438,1213.23681640625,3795.14111328125,146.9250030517578,166.25926208496094,1181.7645263671875,2089.284423828125,1327.7286376953125,1459.9296875,684.6130981445312,599.3006591796875,4325.56591796875,581.5533447265625,2307.907470703125,997.2584838867188,1596.770263671875,15.0,1496.2880859375,1560.8638916015625,166.37046813964844,370.63720703125,823.14013671875,357.0985412597656,3304.820556640625,1677.2598876953125,508.1690979003906,10610.8125,2421.54736328125,1215.405517578125,72.73518371582031,315.2581481933594,241.4142303466797,4260.0693359375,246.632568359375,1424.9659423828125,1461.996337890625,639.5131225585938,27755.380859375,2473.36962890625,1455.9970703125,1140.047119140625,135.52740478515625,3757.623779296875,1214.87158203125,3542.515380859375,2040.201171875,9900.099609375,239.72210693359375,229.47958374023438
2024-02-08,4324.4658203125,2479.294189453125,3164.37744140625,1827.949951171875,1228.6988525390625,556.8495483398438,6183.6982421875,1033.4202880859375,7400.37109375,1567.4580078125,646.2950439453125,210.59597778320312,1112.40380859375,276.697509765625,4672.82421875,1130.03857421875,1380.4241943359375,393.8757629394531,2365.731689453125,514.2635498046875,3630.355224609375,809.9609375,1209.3692626953125,3678.851806640625,144.41387939453125,166.9560546875,1161.90869140625,2035.6546630859375,1325.763671875,1476.604736328125,671.7343139648438,585.9805908203125,4338.69580078125,590.43994140625,2299.9150390625,965.2084350585938,1592.93701171875,14.800000190734863,1458.716796875,1559.3431396484375,171.67965698242188,361.260986328125,808.8734130859375,344.56842041015625,3247.187744140625,1643.052001953125,505.748779296875,10424.7109375,2427.6689453125,1178.183837890625,73.0190200805664,315.4488220214844,242.52410888671875,4249.70263671875,254.2261962890625,1432.845947265625,1451.649169921875,662.527099609375,27066.990234375,2460.185546875,1459.3057861328125,1112.3819580078125,134.82350158691406,3804.27978515625,1206.8062744140625,3515.375732421875,2010.3486328125,9678.5546875,236.58018493652344,226.53692626953125
2024-02-09,4362.41015625,2595.021240234375,3210.915283203125,1880.699951171875,1254.6505126953125,569.55126953125,6388.48193359375,1048.8831787109375,7426.70166015625,1567.8570556640625,654.0448608398438,212.61196899414062,1091.07421875,273.93280029296875,4764.78466796875,1118.922119140625,1399.4267578125,391.3026123046875,2399.7275390625,519.3200073242188,3598.72607421875,813.4216918945312,1208.544677734375,3711.3662109375,145.05398559570312,160.82412719726562,1163.3406982421875,2145.684326171875,1323.3565673828125,1473.7122802734375,671.9976196289062,578.35498046875,4429.79443359375,580.6204833984375,2306.6708984375,986.0872802734375,1610.3338623046875,15.5,1467.55419921875,1538.378173828125,162.84584045410156,362.0888671875,798.68994140625,347.1083068847656,3236.528076171875,1604.555908203125,504.0545349121094,10413.9873046875,2420.00537109375,1191.3365478515625,72.15259552001953,309.72894287109375,237.55201721191406,4254.08544921875,251.2808074951172,1443.3443603515625,1432.397216796875,686.8670043945312,27324.009765625,2488.85302734375,1502.0740966796875,1103.9259033203125,132.61788940429688,3803.911376953125,1208.4654541015625,3557.471923828125,2014.1541748046875,9628.310546875,232.97116088867188,227.27838134765625
2024-02-12,4303.0869140625,2603.217041015625,3165.526123046875,1842.5999755859375,1232.7939453125,556.997802734375,6564.23779296875,1044.1943359375,7469.7265625,1554.1842041015625,645.6561889648438,197.36920166015625,1089.5645751953125,263.2974548339844,4763.53955078125,1098.2347412109375,1394.56689453125,371.2314147949219,2381.7353515625,516.767578125,3685.28759765625,787.2954711914062,1243.4217529296875,3741.223876953125,144.41387939453125,156.82907104492188,1144.9642333984375,2124.757080078125,1309.7977294921875,1506.5650634765625,665.4864501953125,571.6207275390625,4230.0458984375,571.930419921875,2270.036376953125,971.8428344726562,1587.6295166015625,14.449999809265137,1428.946044921875,1548.28466796875,156.51048278808594,354.55078125,798.4439697265625,340.5544128417969,3212.189697265625,1618.248779296875,508.4595031738281,10391.5263671875,2430.940185546875,1195.6884765625,68.73169708251953,301.3875427246094,228.9839630126953,4286.5869140625,248.7955780029297,1435.04443359375,1428.716064453125,670.4352416992188,26963.451171875,2455.412353515625,1501.7313232421875,1097.033935546875,128.95750427246094,3791.948974609375,1215.6090087890625,3551.18212890625,2012.32568359375,9645.8330078125,227.706298828125,232.37586975097656
2024-02-13,4338.5068359375,2581.740234375,3174.21435546875,1815.550048828125,1248.039306640625,561.6930541992188,6667.89453125,1068.186767578125,7553.1533203125,1564.912841796875,649.0470581054688,195.74658203125,1088.7366943359375,260.55499267578125,4774.46484375,1138.263671875,1416.922607421875,388.0003356933594,2416.299072265625,518.8865966796875,3646.169677734375,808.4986572265625,1243.784912109375,3724.169189453125,145.4478759765625,158.26914978027344,1143.5323486328125,2042.432373046875,1338.831298828125,1505.344970703125,667.6168823242188,583.8513793945312,4281.75341796875,500.8870544433594,2277.98193359375,994.9656372070312,1602.716552734375,14.699999809265137,1445.4853515625,1552.3856201171875,155.6627655029297,354.4636535644531,799.5755004882812,346.0525207519531,3233.55859375,1604.8968505859375,508.4111022949219,10473.806640625,2456.68896484375,1194.8619384765625,67.76069641113281,306.5353698730469,230.40457153320312,4283.01708984375,248.74957275390625,1447.642333984375,1460.15576171875,675.6915283203125,26947.77734375,2510.622802734375,1509.3160400390625,1112.2843017578125,129.3798828125,3818.45068359375,1224.5040283203125,3526.12255859375,2020.727783203125,9537.9404296875,228.85269165039062,237.07945251464844
2024-02-14,4429.40869140625,2586.677490234375,3202.926025390625,1852.25,1251.048828125,564.3123779296875,6702.82763671875,1094.224365234375,7711.42041015625,1576.5899658203125,653.2586059570312,194.95986938476562,1086.7886962890625,278.1022033691406,4802.306640625,1121.8133544921875,1385.4300537109375,400.0086669921875,2457.160400390625,524.23193359375,3665.08837890625,822.5853881835938,1228.66796875,3769.921630859375,147.1711883544922,163.750732421875,1146.109619140625,2057.917724609375,1356.6148681640625,1510.6771240234375,662.6378173828125,579.6919555664062,4344.24560546875,498.6286315917969,2272.224853515625,997.7950439453125,1611.5133056640625,15.550000190734863,1462.8638916015625,1535.475341796875,163.78277587890625,358.64666748046875,800.1658325195312,348.40313720703125,3221.3896484375,1614.9351806640625,510.2020568847656,10700.3212890625,2392.48095703125,1209.27880859375,70.37491607666016,312.6842041015625,238.7062530517578,4243.3994140625,251.879150390625,1463.7235107421875,1446.3262939453125,704.0564575195312,26600.466796875,2549.156494140625,1487.9810791015625,1110.1334228515625,132.52403259277344,3772.99169921875,1191.7357177734375,3551.479248046875,2063.925048828125,9475.4013671875,237.4718017578125,238.42333984375
