stock_1,stock_2,p_value,hedge_ratio,alpha,adf_stat,half_life
HAVELLS.NS,HEROMOTOCO.NS,0.02503,0.1618,833.7356,-3.5907,26.0
INDUSINDBK.NS,JSWSTEEL.NS,0.02519,2.2869,-454.8413,-3.5876,18.9
DRREDDY.NS,LT.NS,0.02598,0.1776,568.4989,-3.5809,26.9
DRREDDY.NS,SBILIFE.NS,0.02607,0.8323,-64.2605,-3.5797,26.4
MARICO.NS,SIEMENS.NS,0.02628,0.0285,452.0602,-3.5728,16.1
RELIANCE.NS,TATACONSUM.NS,0.02699,0.8017,517.1437,-3.5623,19.7
IOC.NS,RELIANCE.NS,0.02731,0.2196,-178.55,-3.5592,21.2
ONGC.NS,PERSISTENT.NS,0.02774,0.0569,6.5449,-3.5522,18.2
BAJAJ-AUTO.NS,BHARTIARTL.NS,0.029,8.3126,-2403.7234,-3.5384,27.2
MARUTI.NS,SUNPHARMA.NS,0.02908,6.0931,2748.3719,-3.5368,21.2
MARICO.NS,TATASTEEL.NS,0.02971,1.0732,387.1301,-3.5286,15.1
SBILIFE.NS,ULTRACEMCO.NS,0.02974,0.0818,616.2053,-3.5291,22.8
INDUSINDBK.NS,SBILIFE.NS,0.03028,1.5523,-754.7746,-3.5225,19.2
COLPAL.NS,DLF.NS,0.03133,2.2979,602.6463,-3.5098,20.6
HCLTECH.NS,PERSISTENT.NS,0.03162,0.2327,474.6387,-3.5059,19.7
DABUR.NS,ICICIGI.NS,0.03287,0.0586,459.5511,-3.4921,20.8
APOLLOHOSP.NS,CIPLA.NS,0.0334,3.2324,1408.1447,-3.492,25.9
APOLLOHOSP.NS,GODREJCP.NS,0.03392,3.9567,1087.1064,-3.4811,23.8
JSWSTEEL.NS,ULTRACEMCO.NS,0.0343,0.0611,244.8919,-3.4766,16.8
DABUR.NS,HDFCBANK.NS,0.03527,0.1961,394.6516,-3.4662,20.8
DABUR.NS,WIPRO.NS,0.03591,0.2717,476.4782,-3.4592,20.3
APOLLOHOSP.NS,GAIL.NS,0.03749,17.4662,3004.2317,-3.4501,21.8
BAJAJFINSV.NS,INFY.NS,0.03805,0.6048,706.9007,-3.4426,37.7
BHARTIARTL.NS,NMDC.NS,0.0384,11.5846,372.5242,-3.4364,29.0
IOC.NS,ONGC.NS,0.03871,0.6692,-15.7496,-3.4321,18.8
DLF.NS,DRREDDY.NS,0.03901,1.1057,-597.0773,-3.4294,28.7
JSWSTEEL.NS,LT.NS,0.03935,0.116,449.804,-3.4252,17.6
APOLLOHOSP.NS,COALINDIA.NS,0.03941,6.3212,3525.9385,-3.4255,26.3
GAIL.NS,POWERGRID.NS,0.03945,0.6495,-3.0061,-3.4262,16.5
CIPLA.NS,NMDC.NS,0.03999,10.1168,652.1584,-3.4201,25.3
KOTAKBANK.NS,MARICO.NS,0.04015,0.0071,359.0089,-3.4182,17.9
CIPLA.NS,GRASIM.NS,0.04025,0.5923,10.3202,-3.4179,24.7
APOLLOHOSP.NS,TATASTEEL.NS,0.04027,29.476,1515.0212,-3.4172,25.2
BRITANNIA.NS,JSWSTEEL.NS,0.04079,6.1539,-325.9934,-3.4121,19.6
HCLTECH.NS,TCS.NS,0.04088,0.6075,-879.0359,-3.4112,22.8
IDEA.NS,TCS.NS,0.04149,0.0077,-13.895,-3.4051,20.8
BAJFINANCE.NS,HDFCLIFE.NS,0.0415,0.482,390.6877,-3.4071,25.8
MARUTI.NS,SBILIFE.NS,0.04257,10.4174,-4080.24,-3.3958,22.9
ADANIPORTS.NS,HEROMOTOCO.NS,0.0432,0.2543,132.4606,-3.3919,16.0
DABUR.NS,KOTAKBANK.NS,0.04346,0.4895,359.5326,-3.3874,20.8
INFY.NS,MPHASIS.NS,0.04356,0.2577,794.3723,-3.3871,22.9
HDFCBANK.NS,HINDUNILVR.NS,0.04418,0.1861,296.6097,-3.3809,20.7
ICICIBANK.NS,JSWSTEEL.NS,0.04446,1.2728,-50.196,-3.3821,22.5
HAVELLS.NS,TATASTEEL.NS,0.04447,6.6853,535.8962,-3.3787,24.7
SHREECEM.NS,TECHM.NS,0.04515,8.6083,15123.5985,-3.3745,27.9
DLF.NS,SBILIFE.NS,0.04563,1.2158,-1034.7522,-3.3694,21.0
HEROMOTOCO.NS,NMDC.NS,0.04571,46.6114,934.6386,-3.3512,31.6
DABUR.NS,HAVELLS.NS,0.04605,0.0451,479.2379,-3.3655,22.3
BHARTIARTL.NS,GAIL.NS,0.04637,5.5017,261.6331,-3.4129,18.6
COLPAL.NS,SBILIFE.NS,0.04669,2.7935,-1774.7599,-3.3605,24.0
NMDC.NS,SUNPHARMA.NS,0.04728,0.0609,-21.6839,-3.3706,34.1
BAJAJ-AUTO.NS,POWERGRID.NS,0.04733,33.0184,-905.7673,-3.3571,18.0
EICHERMOT.NS,SBIN.NS,0.04761,5.3102,357.4427,-3.3526,22.9
GAIL.NS,GRASIM.NS,0.04762,0.1166,-101.7766,-3.3526,23.2
CIPLA.NS,NTPC.NS,0.04766,2.2504,644.389,-3.3523,18.6
DABUR.NS,TECHM.NS,0.04797,0.0539,476.9792,-3.3496,22.1
NTPC.NS,SBILIFE.NS,0.04878,0.508,-450.2418,-3.3431,22.4
DRREDDY.NS,GODREJCP.NS,0.04899,0.802,215.7119,-3.3425,23.8
MARICO.NS,ULTRACEMCO.NS,0.04919,0.015,392.0963,-3.3394,17.5
INFY.NS,WIPRO.NS,0.04944,2.2162,891.0665,-3.338,27.8
